timestamp,user,type,amount,location,location_norm,device,fields_found,dt,amount_value,currency,hour,weekday,day_of_month,month,time_diff_hours,is_new_device,is_new_location,user_amount_median,user_amount_std,amount_z_user,prev_location,anomaly_label,anomaly_score,anomaly_status,explanation
2025-06-22 13:10:57,user1000,debit,2182.71,London,london,Xiaomi Mi 11,,2025-06-22 13:10:57,2182.71,UNKNOWN,13,6,22,6,0.28,1,1,2981.21,1713.5,-0.47,Leeds,0,0,Normal,Common transition
2025-06-22 14:05:49,user1000,top-up,507.91,Birmingham,birmingham,Xiaomi Mi 11,,2025-06-22 14:05:49,507.91,UNKNOWN,14,6,22,6,0.91,0,1,2828.84,1675.9,-1.38,London,0,0,Normal,Common transition
2025-06-22 16:54:22,user1000,transfer,3273.93,Leeds,leeds,Nokia 3310,,2025-06-22 16:54:22,3273.93,UNKNOWN,16,6,22,6,2.81,1,1,2676.48,1677.26,0.36,Birmingham,0,0,Normal,Common transition
2025-06-23 22:51:43,user1000,debit,£940.66,Cardiff,cardiff,Xiaomi Mi 11,,2025-06-23 22:51:43,940.66,GBP,22,0,23,6,29.96,1,1,2828.84,1657.27,-1.14,Leeds,0,0,Normal,Common transition
2025-06-24 07:07:01,user1000,top-up,24,Leeds,leeds,Xiaomi Mi 11,"['timestamp', 'user', 'type', 'amount']",2025-06-24 07:07:01,24.0,UNKNOWN,7,1,24,6,8.26,0,1,2676.48,1643.75,-1.61,Cardiff,0,0,Normal,Common transition
2025-06-25 00:24:08,user1000,top-up,25,Leeds,leeds,Xiaomi Mi 11,"['timestamp', 'user', 'type', 'amount']",2025-06-25 00:24:08,25.0,UNKNOWN,0,2,25,6,17.29,0,0,2429.6,1663.51,-1.45,Leeds,0,0,Normal,Common transition
2025-06-25 10:12:11,user1000,top-up,935.32,Leeds,leeds,Samsung Galaxy S10,,2025-06-25 10:12:11,935.32,UNKNOWN,10,2,25,6,9.8,1,0,2182.71,1678.34,-0.74,Leeds,0,0,Normal,Common transition
2025-06-25 19:49:08,user1000,debit,3413.7,Manchester,manchester,Pixel 6,,2025-06-25 19:49:08,3413.7,UNKNOWN,19,2,25,6,9.62,1,1,2146.48,1661.17,0.76,Leeds,0,0,Normal,Common transition
2025-06-25 22:14:35,user1000,deposit,2007.87,None,none,Huawei P30,,2025-06-25 22:14:35,2007.87,UNKNOWN,22,2,25,6,2.42,1,1,2182.71,1653.11,-0.11,Manchester,0,0,Normal,Common transition
2025-06-26 12:29:52,user1000,top-up,406.29,Birmingham,birmingham,Samsung Galaxy S10,,2025-06-26 12:29:52,406.29,UNKNOWN,12,3,26,6,14.25,1,1,2146.48,1626.23,-1.07,None,0,0,Normal,Common transition
2025-06-26 14:01:57 ,user1000,top-up,£2461.89,None ,none,iPhone 13,,2025-06-26 14:01:57,2461.89,GBP,14,3,26,6,1.53,1,1,2110.25,1625.58,0.22,Birmingham,0,0,Normal,Common transition
2025-06-27 12:18:27,user1000,deposit,27,Leeds,leeds,Xiaomi Mi 11,"['timestamp', 'user', 'type', 'amount']",2025-06-27 12:18:27,27.0,UNKNOWN,12,4,27,6,22.28,1,1,2146.48,1602.83,-1.32,None ,0,0,Normal,Common transition
2025-06-28 20:38:14,user1000,refund,£3213.02,Glasgow,glasgow,Samsung Galaxy S10,,2025-06-28 20:38:14,3213.02,GBP,20,5,28,6,32.33,1,1,2110.25,1613.95,0.68,Leeds,0,0,Normal,Common transition
2025-06-29 14:29:07,user1000,purchase,4222.78,London,london,Huawei P30,,2025-06-29 14:29:07,4222.78,UNKNOWN,14,6,29,6,17.85,1,1,2146.48,1604.72,1.29,Glasgow,0,0,Normal,Common transition
2025-06-29 22:12:13 ,user1000,withdrawal,$4335.33,Liverpool ,liverpool,Huawei P30,,2025-06-29 22:12:13,4335.33,USD,22,6,29,6,7.72,0,1,2182.71,1624.67,1.32,London,0,0,Normal,Common transition
2025-06-30 04:17:02,user1000,deposit,4169.62,Manchester,manchester,Pixel 6,,2025-06-30 04:17:02,4169.62,UNKNOWN,4,0,30,6,6.08,1,1,2322.3,1645.24,1.12,Liverpool ,0,0,Normal,Common transition
2025-06-30 23:11:48,user1000,purchase,1628.71,Manchester,manchester,Pixel 6,,2025-06-30 23:11:48,1628.71,UNKNOWN,23,0,30,6,18.91,0,0,2461.89,1656.9,-0.5,Manchester,0,0,Normal,Common transition
2025-07-01 04:10:24 ,user1000,transfer,€4844.96,Leeds ,leeds,Huawei P30,,2025-07-01 04:10:24,4844.96,EUR,4,1,1,7,4.98,1,1,2322.3,1637.62,1.54,Manchester,0,0,Normal,Common transition
2025-07-02 07:16:27 ,user1000,transfer,£912.95,Liverpool ,liverpool,Pixel 6,,2025-07-02 07:16:27,912.95,GBP,7,2,2,7,27.1,1,1,2461.89,1671.26,-0.93,Leeds ,0,0,Normal,Common transition
2025-07-02 11:01:03,user1000,top-up,1536.51,Liverpool,liverpool,iPhone 13,,2025-07-02 11:01:03,1536.51,UNKNOWN,11,2,2,7,3.74,1,1,2322.3,1662.78,-0.47,Liverpool ,0,0,Normal,Common transition
2025-07-03 12:13:18,user1000,cashout,€4282.02,Birmingham,birmingham,None,,2025-07-03 12:13:18,4282.02,EUR,12,3,3,7,25.2,1,1,2182.71,1645.76,1.28,Liverpool,0,0,Normal,Common transition
2025-07-04 02:56:15,user1000,top-up,2787.48,Leeds,leeds,iPhone 13,,2025-07-04 02:56:15,2787.48,UNKNOWN,2,4,4,7,14.72,1,1,2322.3,1657.64,0.28,Birmingham,0,0,Normal,Common transition
2025-07-04 03:40:31,user1000,deposit,3005.17,Leeds,leeds,Samsung Galaxy S10,,2025-07-04 03:40:31,3005.17,UNKNOWN,3,4,4,7,0.74,1,0,2461.89,1640.96,0.33,Leeds,0,0,Normal,Common transition
2025-07-04 22:11:46 ,user1000,debit,£4102.31,Liverpool ,liverpool,Nokia 3310,,2025-07-04 22:11:46,4102.31,GBP,22,4,4,7,18.52,1,1,2569.18,1626.73,0.94,Leeds,0,0,Normal,Common transition
2025-07-05 06:23:09,user1000,top-up,1541.58,Birmingham,birmingham,Xiaomi Mi 11,,2025-07-05 06:23:09,1541.58,UNKNOWN,6,5,5,7,8.19,1,1,2676.48,1631.74,-0.7,Liverpool ,0,0,Normal,Common transition
2025-07-07 19:23:01,user1000,cashout,07,Leeds,leeds,Xiaomi Mi 11,"['timestamp', 'user', 'type', 'amount']",2025-07-07 19:23:01,7.0,UNKNOWN,19,0,7,7,61.0,0,1,2569.18,1617.79,-1.58,Birmingham,0,0,Normal,Common transition
2025-07-08 04:12:26,user1000,cashout,€3078.95,Birmingham,birmingham,Samsung Galaxy S10,,2025-07-08 04:12:26,3078.95,EUR,4,1,8,7,8.82,1,1,2461.89,1632.98,0.38,Leeds,0,0,Normal,Common transition
2025-07-09 03:32:31,user1000,transfer,09,Leeds,leeds,Xiaomi Mi 11,"['timestamp', 'user', 'type', 'amount']",2025-07-09 03:32:31,9.0,UNKNOWN,3,2,9,7,23.33,1,1,2569.18,1620.82,-1.58,Birmingham,0,0,Normal,Common transition
2025-07-10 01:29:32,user1000,transfer,$319.82,Manchester,manchester,Pixel 6,,2025-07-10 01:29:32,319.82,USD,1,3,10,7,21.95,1,1,2461.89,1634.52,-1.31,Leeds,0,0,Normal,Common transition
2025-07-11 17:39:34 ,user1000,deposit,$6.43,Manchester ,manchester,Samsung Galaxy S10,,2025-07-11 17:39:34,6.43,USD,17,4,11,7,40.17,1,1,2322.3,1639.08,-1.41,Manchester,0,0,Normal,Common transition
2025-07-11 23:58:44 ,user1000,debit,$1008.51,None ,none,Pixel 6,,2025-07-11 23:58:44,1008.51,USD,23,4,11,7,6.32,1,1,2182.71,1649.85,-0.71,Manchester ,0,0,Normal,Common transition
2025-07-12 06:18:49 ,user1000,withdrawal,€3783.21,Manchester ,manchester,None,,2025-07-12 06:18:49,3783.21,EUR,6,5,12,7,6.33,1,1,2146.48,1641.13,1.0,None ,0,0,Normal,Common transition
2025-07-12 06:56:10 ,user1000,refund,$908.96,Leeds ,leeds,iPhone 13,,2025-07-12 06:56:10,908.96,USD,6,5,12,7,0.62,1,1,2182.71,1641.74,-0.78,Manchester ,0,0,Normal,Common transition
2025-07-12 15:22:08 ,user1000,withdrawal,£4686.05,Manchester ,manchester,None,,2025-07-12 15:22:08,4686.05,GBP,15,5,12,7,8.43,1,1,2146.48,1634.84,1.55,Leeds ,0,0,Normal,Common transition
2025-07-12 17:10:29,user1000,top-up,2763.2,Cardiff,cardiff,Pixel 6,,2025-07-12 17:10:29,2763.2,UNKNOWN,17,5,12,7,1.81,1,1,2182.71,1655.91,0.35,Manchester ,0,0,Normal,Common transition
2025-07-16 18:06:18 ,user1000,transfer,$1149.68,Glasgow ,glasgow,iPhone 13,,2025-07-16 18:06:18,1149.68,USD,18,2,16,7,96.93,1,1,2322.3,1643.3,-0.71,Cardiff,0,0,Normal,Common transition
2025-07-16 21:25:30,user1000,top-up,16,Leeds,leeds,Xiaomi Mi 11,"['timestamp', 'user', 'type', 'amount']",2025-07-16 21:25:30,16.0,UNKNOWN,21,2,16,7,3.32,1,1,2182.71,1634.37,-1.33,Glasgow ,0,0,Normal,Common transition
2025-07-18 22:24:48,user1000,refund,18,Leeds,leeds,Xiaomi Mi 11,"['timestamp', 'user', 'type', 'amount']",2025-07-18 22:24:48,18.0,UNKNOWN,22,4,18,7,48.99,0,0,2146.48,1643.53,-1.3,Leeds,0,0,Normal,Common transition
2025-07-19 14:37:54,user1000,purchase,2501.81,Birmingham,birmingham,iPhone 13,,2025-07-19 14:37:54,2501.81,UNKNOWN,14,5,19,7,16.22,1,1,2110.25,1651.57,0.24,Leeds,0,0,Normal,Common transition
2025-07-20 17:23:20,user1000,purchase,£846.74,Leeds,leeds,Huawei P30,,2025-07-20 17:23:20,846.74,GBP,17,6,20,7,26.76,1,1,2146.48,1638.88,-0.79,Birmingham,0,0,Normal,Common transition
2025-07-21 00:13:34 ,user1000,deposit,$4859.83,Birmingham ,birmingham,Nokia 3310,,2025-07-21 00:13:34,4859.83,USD,0,0,21,7,6.84,1,1,2110.25,1633.01,1.68,Leeds,0,0,Normal,Common transition
2025-07-23 11:44:09 ,user1000,transfer,$1522.7,Manchester ,manchester,Xiaomi Mi 11,,2025-07-23 11:44:09,1522.7,USD,11,2,23,7,59.51,1,1,2146.48,1657.38,-0.38,Birmingham ,0,0,Normal,Common transition
2025-07-24 04:18:43,user1000,cashout,€1001.97,None,none,Pixel 6,,2025-07-24 04:18:43,1001.97,EUR,4,3,24,7,16.58,1,1,2110.25,1645.96,-0.67,Manchester ,0,0,Normal,Common transition
2025-07-25 02:33:24 ,user1000,withdrawal,£4510.63,Cardiff ,cardiff,iPhone 13,,2025-07-25 02:33:24,4510.63,GBP,2,4,25,7,22.24,1,1,2059.06,1638.77,1.5,None,0,0,Normal,Common transition
2025-07-26 19:00:33,user1000,withdrawal,26,Leeds,leeds,Xiaomi Mi 11,"['timestamp', 'user', 'type', 'amount']",2025-07-26 19:00:33,26.0,UNKNOWN,19,5,26,7,40.45,1,1,2110.25,1653.25,-1.26,Cardiff ,0,0,Normal,Common transition
2025-07-28 00:26:00,user1000,cashout,1114.48,London,london,Pixel 6,,2025-07-28 00:26:00,1114.48,UNKNOWN,0,0,28,7,29.42,1,1,2059.06,1660.29,-0.57,Leeds,0,0,Normal,Common transition
2025-07-29 07:54:17,user1000,deposit,€1729.38,Manchester,manchester,Samsung Galaxy S10,,2025-07-29 07:54:17,1729.38,EUR,7,1,29,7,31.47,1,1,2007.87,1652.16,-0.17,London,0,0,Normal,Common transition
2025-07-30 06:30:13,user1000,top-up,30,Leeds,leeds,Xiaomi Mi 11,"['timestamp', 'user', 'type', 'amount']",2025-07-30 06:30:13,30.0,UNKNOWN,6,2,30,7,22.6,1,1,1891.74,1640.64,-1.13,Manchester,0,0,Normal,Common transition
2025-07-30 14:25:51,user1000,withdrawal,2157.19,Liverpool,liverpool,None,,2025-07-30 14:25:51,2157.19,UNKNOWN,14,2,30,7,7.93,1,1,1775.6,1646.68,0.23,Leeds,0,0,Normal,Common transition
2025-07-30 19:12:52 ,user1000,top-up,€2600.8,Cardiff ,cardiff,Nokia 3310,,2025-07-30 19:12:52,2600.8,EUR,19,2,30,7,4.78,1,1,1891.74,1635.11,0.43,Liverpool,0,0,Normal,Common transition
2025-07-31 09:41:19,user1000,withdrawal,966.27,Glasgow,glasgow,Xiaomi Mi 11,,2025-07-31 09:41:19,966.27,UNKNOWN,9,3,31,7,14.47,1,1,2007.87,1625.05,-0.64,Cardiff ,0,0,Normal,Common transition
2025-06-01 15:05:41,user1001,cashout,4517.8,Cardiff,cardiff,None,,2025-06-01 15:05:41,4517.8,UNKNOWN,15,6,1,6,8.97,1,1,2051.9,1588.72,1.55,,0,0,Normal,Common transition
2025-06-04 20:07:17,user1001,transfer,761.79,Glasgow,glasgow,None,,2025-06-04 20:07:17,761.79,UNKNOWN,20,2,4,6,77.03,0,1,4517.8,1588.72,-2.36,Cardiff,0,0,Normal,Common transition
2025-06-06 03:54:45 ,user1001,transfer,€209.56,None ,none,Samsung Galaxy S10,,2025-06-06 03:54:45,209.56,EUR,3,4,6,6,31.79,1,1,2639.8,2655.9,-0.92,Glasgow,0,0,Normal,Common transition
2025-06-07 19:20:03,user1001,transfer,07,Leeds,leeds,Xiaomi Mi 11,"['timestamp', 'user', 'type', 'amount']",2025-06-07 19:20:03,7.0,UNKNOWN,19,5,7,6,39.42,1,1,761.79,2344.27,-0.32,None ,0,0,Normal,Common transition
2025-06-12 13:28:37,user1001,debit,12,Leeds,leeds,Xiaomi Mi 11,"['timestamp', 'user', 'type', 'amount']",2025-06-12 13:28:37,12.0,UNKNOWN,13,3,12,6,114.14,0,0,485.67,2119.98,-0.22,Leeds,0,0,Normal,Common transition
2025-06-12 19:45:18,user1001,transfer,4214.67,Cardiff,cardiff,Xiaomi Mi 11,,2025-06-12 19:45:18,4214.67,UNKNOWN,19,3,12,6,6.28,0,1,209.56,1934.36,2.07,Leeds,0,0,Normal,Common transition
2025-06-13 12:43:03,user1001,transfer,81.74,Liverpool,liverpool,None,,2025-06-13 12:43:03,81.74,UNKNOWN,12,4,13,6,16.96,1,1,485.67,2146.76,-0.19,Cardiff,0,0,Normal,Common transition
2025-06-14 06:37:39 ,user1001,purchase,£1413.53,None ,none,Nokia 3310,,2025-06-14 06:37:39,1413.53,GBP,6,5,14,6,17.91,1,1,209.56,2044.19,0.59,Liverpool,0,0,Normal,Common transition
2025-06-15 11:43:42 ,user1001,deposit,£1381.86,Glasgow ,glasgow,Pixel 6,,2025-06-15 11:43:42,1381.86,GBP,11,6,15,6,29.1,1,1,485.67,1892.56,0.47,None ,0,0,Normal,Common transition
2025-06-16 09:03:16,user1001,purchase,$2457.73,Liverpool,liverpool,iPhone 13,,2025-06-16 09:03:16,2457.73,USD,9,0,16,6,21.33,1,1,761.79,1770.34,0.96,Glasgow ,0,0,Normal,Common transition
2025-06-18 18:38:44 ,user1001,debit,€1537.67,Manchester ,manchester,None,,2025-06-18 18:38:44,1537.67,EUR,18,2,18,6,57.59,1,1,1071.82,1702.28,0.27,Liverpool,0,0,Normal,Common transition
2025-06-18 23:34:17,user1001,transfer,367.3,London,london,Samsung Galaxy S10,,2025-06-18 23:34:17,367.3,UNKNOWN,23,2,18,6,4.93,1,1,1381.86,1614.95,-0.63,Manchester ,0,0,Normal,Common transition
2025-06-19 11:42:25 ,user1001,cashout,€3473.24,Manchester ,manchester,Nokia 3310,,2025-06-19 11:42:25,3473.24,EUR,11,3,19,6,12.14,1,1,1071.82,1574.65,1.53,London,0,0,Normal,Common transition
2025-06-23 13:46:33,user1001,withdrawal,3532.78,Leeds,leeds,iPhone 13,,2025-06-23 13:46:33,3532.78,UNKNOWN,13,0,23,6,98.07,1,1,1381.86,1612.21,1.33,Manchester ,0,0,Normal,Common transition
2025-06-24 20:54:29,user1001,top-up,920.49,Leeds,leeds,Xiaomi Mi 11,,2025-06-24 20:54:29,920.49,UNKNOWN,20,1,24,6,31.13,1,0,1397.7,1635.21,-0.29,Leeds,0,0,Normal,Common transition
2025-06-26 13:24:25 ,user1001,transfer,€294.21,Manchester ,manchester,Nokia 3310,,2025-06-26 13:24:25,294.21,EUR,13,3,26,6,40.5,1,1,1381.86,1588.93,-0.68,Leeds,0,0,Normal,Common transition
2025-06-28 04:45:27,user1001,cashout,4660.82,Glasgow,glasgow,Samsung Galaxy S10,,2025-06-28 04:45:27,4660.82,UNKNOWN,4,5,28,6,39.35,1,1,1151.18,1572.53,2.23,Manchester ,0,0,Normal,Common transition
2025-06-28 13:16:19 ,user1001,debit,€146.8,Birmingham ,birmingham,iPhone 13,,2025-06-28 13:16:19,146.8,EUR,13,5,28,6,8.51,1,1,1381.86,1696.7,-0.73,Glasgow,0,0,Normal,Common transition
2025-06-30 08:43:40,user1001,cashout,£3135.26,Birmingham,birmingham,Samsung Galaxy S10,,2025-06-30 08:43:40,3135.26,GBP,8,0,30,6,43.46,1,1,1151.18,1689.15,1.17,Birmingham ,0,0,Normal,Common transition
2025-06-30 10:03:04 ,user1001,top-up,£996.37,London ,london,Xiaomi Mi 11,,2025-06-30 10:03:04,996.37,GBP,10,0,30,6,1.32,1,1,1381.86,1675.8,-0.23,Birmingham,0,0,Normal,Common transition
2025-07-01 03:57:46 ,user1001,withdrawal,€4567.36,Manchester ,manchester,iPhone 13,,2025-07-01 03:57:46,4567.36,EUR,3,1,1,7,17.91,1,1,1189.12,1639.64,2.06,London ,0,0,Normal,Common transition
2025-07-03 00:03:27,user1001,transfer,€550.01,Birmingham,birmingham,None,,2025-07-03 00:03:27,550.01,EUR,0,3,3,7,44.09,1,1,1381.86,1715.76,-0.48,Manchester ,0,0,Normal,Common transition
2025-07-07 03:14:10,user1001,deposit,07,Leeds,leeds,Xiaomi Mi 11,"['timestamp', 'user', 'type', 'amount']",2025-07-07 03:14:10,7.0,UNKNOWN,3,0,7,7,99.18,1,1,1189.12,1696.93,-0.7,Birmingham,0,0,Normal,Common transition
2025-07-08 05:38:30,user1001,debit,£1782.83,Cardiff,cardiff,Samsung Galaxy S10,,2025-07-08 05:38:30,1782.83,GBP,5,1,8,7,26.41,1,1,996.37,1698.8,0.46,Leeds,0,0,Normal,Common transition
2025-07-08 05:42:15,user1001,debit,£4465.62,Birmingham,birmingham,Samsung Galaxy S10,,2025-07-08 05:42:15,4465.62,GBP,5,1,8,7,0.06,0,1,1189.12,1661.53,1.97,Cardiff,0,0,Normal,Common transition
2025-07-08 19:27:27,user1001,cashout,08,Leeds,leeds,Xiaomi Mi 11,"['timestamp', 'user', 'type', 'amount']",2025-07-08 19:27:27,8.0,UNKNOWN,19,1,8,7,13.75,1,1,1381.86,1717.41,-0.8,Birmingham,0,0,Normal,Common transition
2025-07-10 04:51:46,user1001,transfer,975.74,Leeds,leeds,Nokia 3310,,2025-07-10 04:51:46,975.74,UNKNOWN,4,3,10,7,33.41,1,0,1189.12,1719.82,-0.12,Leeds,0,0,Normal,Common transition
2025-07-10 07:07:03 ,user1001,debit,€2814.51,Glasgow ,glasgow,Xiaomi Mi 11,,2025-07-10 07:07:03,2814.51,EUR,7,3,10,7,2.25,1,1,996.37,1692.99,1.07,Leeds,0,0,Normal,Common transition
2025-07-11 13:53:18,user1001,withdrawal,2559.71,Liverpool,liverpool,Samsung Galaxy S10,,2025-07-11 13:53:18,2559.71,UNKNOWN,13,4,11,7,30.77,1,1,1189.12,1674.14,0.82,Glasgow ,0,0,Normal,Common transition
2025-07-12 00:14:40 ,user1001,top-up,£3291.24,None ,none,Pixel 6,,2025-07-12 00:14:40,3291.24,GBP,0,5,12,7,10.36,1,1,1381.86,1650.66,1.16,Liverpool,0,0,Normal,Common transition
2025-07-14 01:35:18,user1001,withdrawal,4677.14,None,none,iPhone 13,,2025-07-14 01:35:18,4677.14,UNKNOWN,1,0,14,7,49.34,1,1,1397.7,1645.0,1.99,None ,0,0,Normal,Common transition
2025-07-18 23:15:34,user1001,debit,289.99,Cardiff,cardiff,iPhone 13,,2025-07-18 23:15:34,289.99,UNKNOWN,23,4,18,7,117.67,0,1,1413.53,1695.82,-0.66,None,0,0,Normal,Common transition
2025-07-19 18:49:52,user1001,purchase,$3695.0,Liverpool,liverpool,Samsung Galaxy S10,,2025-07-19 18:49:52,3695.0,USD,18,5,19,7,19.57,1,1,1397.7,1693.24,1.36,Cardiff,0,0,Normal,Common transition
2025-07-25 20:12:40,user1001,deposit,25,Leeds,leeds,Xiaomi Mi 11,"['timestamp', 'user', 'type', 'amount']",2025-07-25 20:12:40,25.0,UNKNOWN,20,4,25,7,145.38,1,1,1413.53,1696.31,-0.82,Liverpool,0,0,Normal,Common transition
2025-07-28 00:20:10,user1001,debit,28,Leeds,leeds,Xiaomi Mi 11,"['timestamp', 'user', 'type', 'amount']",2025-07-28 00:20:10,28.0,UNKNOWN,0,0,28,7,52.12,0,0,1397.7,1702.18,-0.8,Leeds,0,0,Normal,Common transition
2025-06-01 15:06:05,user1003,refund,1108.76,Glasgow,glasgow,Huawei P30,,2025-06-01 15:06:05,1108.76,UNKNOWN,15,6,1,6,8.97,1,1,2051.9,1588.72,-0.59,,0,0,Normal,Common transition
2025-06-02 16:09:58,user1003,top-up,£4352.91,Glasgow,glasgow,Samsung Galaxy S10,,2025-06-02 16:09:58,4352.91,GBP,16,0,2,6,25.06,1,0,1108.76,1588.72,2.04,Glasgow,0,0,Normal,Common transition
2025-06-03 00:26:23,user1003,top-up,1252.7,Liverpool,liverpool,iPhone 13,,2025-06-03 00:26:23,1252.7,UNKNOWN,0,1,3,6,8.27,1,1,2730.84,2293.96,-0.64,Glasgow,0,0,Normal,Common transition
2025-06-03 22:04:19,user1003,deposit,1153.56,Birmingham,birmingham,Nokia 3310,,2025-06-03 22:04:19,1153.56,UNKNOWN,22,1,3,6,21.63,1,1,1252.7,1832.87,-0.05,Liverpool,0,0,Normal,Common transition
